Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Pakistan,PAK,1982,1822.26025390625,6.9139909744262695,370.1231384277344
Pakistan,PAK,1983,1849.7540283203125,9.010587692260742,414.522216796875
Pakistan,PAK,1984,1900.775390625,10.542197227478027,415.56671142578125
Pakistan,PAK,1985,1936.71337890625,11.969974517822266,417.73638916015625
Pakistan,PAK,1986,2026.15966796875,15.672611236572266,386.7647705078125
Pakistan,PAK,1987,2137.68359375,8.80359172821045,492.618408203125
Pakistan,PAK,1988,2211.79052734375,5.4420270919799805,500.6092224121094
Pakistan,PAK,1989,2299.49072265625,3.2396302223205566,493.52642822265625
Pakistan,PAK,1990,2357.54931640625,11.066732406616211,469.3201904296875
Pakistan,PAK,1991,2423.26953125,10.753973960876465,488.0254211425781
Pakistan,PAK,1992,2453.532470703125,13.760851860046387,517.7406005859375
Pakistan,PAK,1993,2650.19775390625,9.853302955627441,553.923583984375
Pakistan,PAK,1994,2692.354736328125,13.856734275817871,528.85791015625
Pakistan,PAK,1995,2762.537841796875,11.954848289489746,543.4102783203125
Pakistan,PAK,1996,2851.78857421875,7.2867960929870605,575.7802734375
Pakistan,PAK,1997,2800.75,9.75977897644043,416.2016906738281
Pakistan,PAK,1998,2828.8125,8.276796340942383,528.6626586914062
Pakistan,PAK,1999,2956.95556640625,1.628296136856079,458.7169189453125
Pakistan,PAK,2000,2994.11376953125,18.852863311767578,385.5308837890625
Pakistan,PAK,2001,2964.46630859375,40.283348083496094,387.1917419433594
Pakistan,PAK,2002,2983.197998046875,35.5085563659668,419.0095520019531
Pakistan,PAK,2003,3135.123779296875,34.62495040893555,487.6710205078125
Pakistan,PAK,2004,3430.271484375,42.626129150390625,504.1434020996094
Pakistan,PAK,2005,3440.99365234375,43.50100326538086,548.3690795898438
Pakistan,PAK,2006,3586.941650390625,42.16607666015625,524.7813110351562
Pakistan,PAK,2007,3745.6181640625,37.47978210449219,533.8003540039062
Pakistan,PAK,2008,3766.16748046875,27.4427433013916,447.592529296875
Pakistan,PAK,2009,3705.919189453125,38.838829040527344,457.4458923339844
Pakistan,PAK,2010,3629.449951171875,37.73414611816406,461.3481140136719
Pakistan,PAK,2011,3519.992431640625,56.906734466552734,460.7470703125
Pakistan,PAK,2012,3476.037109375,38.146488189697266,158.5822296142578
Pakistan,PAK,2013,3419.280029296875,58.28901672363281,452.88751220703125
Pakistan,PAK,2014,3454.03564453125,62.160484313964844,456.7449951171875
Pakistan,PAK,2015,3578.0771484375,55.78512954711914,457.15374755859375
Pakistan,PAK,2016,3818.057373046875,66.737548828125,484.4128723144531
Pakistan,PAK,2017,3992.2333984375,99.70274353027344,438.29791259765625
Pakistan,PAK,2018,4036.108642578125,110.63656616210938,431.06390380859375
Pakistan,PAK,2019,3933.97607421875,107.2529067993164,500.28076171875
Pakistan,PAK,2020,3780.2412109375,108.95381164550781,531.4009399414062
Pakistan,PAK,2021,4075.039794921875,176.762939453125,505.3470764160156
Peru,PER,1965,4160.83935546875,0,662.7811279296875
Peru,PER,1966,5006.947265625,0,693.9697265625
Peru,PER,1967,4889.96337890625,0,756.263916015625
Peru,PER,1968,4804.896484375,0,789.4287719726562
Peru,PER,1969,4648.11865234375,0,835.8623657226562
Peru,PER,1970,4724.4599609375,0,776.8259887695312
Peru,PER,1971,4637.9384765625,0,968.3385620117188
Peru,PER,1972,3919.900390625,0,973.0643920898438
Peru,PER,1973,4448.87158203125,0,1015.0686645507812
Peru,PER,1974,5075.76513671875,0,1083.61962890625
Peru,PER,1975,5072.9189453125,0,1103.0968017578125
Peru,PER,1976,4981.54345703125,0,1130.90576171875
Peru,PER,1977,4849.30224609375,0,1143.3143310546875
Peru,PER,1978,4672.9404296875,0,1138.613525390625
Peru,PER,1979,4708.02587890625,0,1188.6029052734375
Peru,PER,1980,4943.9912109375,0,1196.7344970703125
